id,title,description,date,hours,pdf  
1,"React: Desenvolvimento com JavaScript","Descrever as vantagens de usar React; Implementar componentes reativos; Investigar e analisar mensagens de erro; Modificar e evoluir componentes conforme necessidades do projeto; Prototipar uma aplicação do zero até a implantação",16-07-2023,14,assets/pdfs/cert-01.pdf  
2,"Gestão Ágil: Gerenciamento de processos para agilidade","Explorar conceitos de agilidade, analisando conteúdo e aplicações; Utilizar agilidade na rotina de trabalho; Entender notações como SIPOC, VSM e jornada do usuário; Analisar dificuldades e impacto de soft skills em empresas",12-06-2023,8,assets/pdfs/cert-02.pdf  
3,"Inteligência artificial generativa: Midjourney e ChatGPT","Conhecer diferentes ferramentas de IA generativa (Midjourney e ChatGPT); Entender como gerar imagens para diversos fins com Midjourney; Aprender a integrar o uso do ChatGPT com Midjourney; Explorar aplicações do ChatGPT como suporte em projetos de múltiplos domínios",16-06-2023,8,assets/pdfs/cert-03.pdf  
4,"React: Como os componentes funcionam","Aprender a clonar um projeto existente no GitHub, instalar dependências e executar o código; Entender o que são dependências e como instalá-las; Comparar a visão do React sobre componentes, props e estados; Modificar o código (criar novas features e refatorar); Compreender one-way data binding e sua relação com o Virtual DOM",26-06-2023,8,assets/pdfs/cert-04.pdf  
5,"Figma: Construindo o layout do seu site mobile","Entender conceitos básicos de criação de sites mobile; Conhecer a ferramenta Figma para criação de sites; Aprender a construir layouts no Figma; Prototipar sites com alta fidelidade",15-08-2023,10,assets/pdfs/cert-05.pdf  
6,"React com JavaScript: Manipulação de arquivos estáticos","Organizar pastas e arquivos no projeto; Implementar componentes de interface de usuário; Gerenciar arquivos estáticos em projetos React; Vantagens de CSS modules e Sass; Utilizar métodos JavaScript para adicionar funcionalidades; Fazer deploy na Vercel",16-09-2023,8,assets/pdfs/cert-06.pdf  
7,"Git e GitHub: Repositório, commit e versionamento","Diferenciar Git e GitHub; Comandos principais usados diariamente; Controlar versões de projetos; Estratégias de branching; Navegar no histórico com restore",23-08-2023,8,assets/pdfs/cert-07.pdf  
8,"JavaScript para web: Criando páginas dinâmicas","Identificar funções de cada tecnologia web na construção de páginas; Associar JavaScript ao HTML via DOM; Implementar funções com JavaScript; Investigar soluções para problemas de código; Operadores lógicos adequados para cada situação; Criar soluções simples para páginas dinâmicas",20-08-2023,10,assets/pdfs/cert-08.pdf  
9,"Git e GitHub: Controle e compartilhamento de código","Entender sistema de controle de versão; Salvar e recuperar código em diferentes versões; Resolver merges e conflitos; Trabalhar com branches",28-08-2023,6,assets/pdfs/cert-09.pdf  
10,"HTTP: Entendendo a web por trás dos panos","Arquitetura e conceitos fundamentais do protocolo HTTP; Implementar HTTPS para segurança de dados; Avanços do HTTP/2 e HTTP/3; Componentes de mensagens HTTP (requests, responses, headers); URLs e domínios na web",05-09-2023,10,assets/pdfs/cert-10.pdf  
11,"React: Escrevendo com TypeScript","Criar projeto React com TypeScript do zero (Create React App); Conceitos como componentização, props e estados; Evitar sobreposição de CSS com CSS Modules; Hooks useState e useEffect; Boas práticas (DRY e SRP)",05-09-2023,12,assets/pdfs/cert-11.pdf  
12,"TypeScript parte 1: Evoluindo seu JavaScript","Configurar ambiente do zero; Funcionalidades do compilador TypeScript; Vantagens da tipagem estática; Modelar classes com recursos da linguagem; Usar tipos e modificadores",01-11-2023,10,assets/pdfs/cert-12.pdf  
13,"React: Trabalhando com arquivos estáticos","Criar projeto do zero com Create React App; Usar normalize.css para resetar estilos; Configurar imports absolutos; Melhores práticas de CSS (variáveis, media queries); Usar SVGR para importar SVGs como componentes; Entender imports estáticos no React",18-11-2023,10,assets/pdfs/cert-13.pdf  
14,"Angular 14: Aplicando conceitos e desenvolvendo seu primeiro CRUD","Usar Angular CLI para criar projetos e arquivos; Estrutura de componentes Angular; Property binding, interpolação, event binding e two-way data binding; Diretivas principais; Navegação dinâmica com rotas; Injeção de dependências; HTTP requests com HttpClient",08-03-2024,10,assets/pdfs/cert-14.pdf  
15,"Angular: Componentização e design com Angular Material","Aprimorar componentização no Angular; Criar componentes reutilizáveis; Usar Angular Material para interfaces modernas; Adicionar ícones com Angular Material; Explorar componentes (botões, toolbars, cards)",20-03-2024,8,assets/pdfs/cert-15.pdf  
16,"JavaScript do básico ao avançado (com Node.Js e projetos)","Conceitos básicos até tópicos avançados de JavaScript; Programação assíncrona; Manipulação de DOM; Desenvolvimento server-side com Node.js; Construir APIs com Express.js",24-11-2023,20.5,assets/pdfs/cert-16.pdf  
17,"Certificado de participação como inspirator do Dia Mundial da Criatividade","Participação como inspirator no Pitch Round - Desafio Unifacisa",23-04-2023,3,assets/pdfs/cert-17.pdf  
18,"Painel Carreita da Inovação","Participação no Painel Carreita da Inovação durante o Fórum de Carreiras Unifacisa 2023",10-06-2023,5,assets/pdfs/cert-18.pdf  
19,"Conquista de ranking nacional","Primeiro lugar no ranking nacional do aplicativo de inglês Flexge",26-04-2023,0,assets/pdfs/cert-19.pdf  
20,"Certificado de Proficiência","Nível de proficiência em inglês equivalente a A1 (Quadro Europeu Comum de Referência) via Teste de Fluência Flexge",26-04-2023,0,assets/pdfs/cert-20.pdf  
21,"Agentes de IA com n8n","Desenvolvimento de fluxos de automação inteligente com n8n e integração com modelos de IA",27-02-2025,6.5,assets/pdfs/cert-21.pdf  
22,"Curso de Dify","Criação e implantação de aplicações de IA generativa com a plataforma Dify",11-02-2025,5.5,assets/pdfs/cert-22.pdf  
23,"Domine LLMs com LangChain","Construção de pipelines avançados para Large Language Models usando LangChain",16-12-2024,9,assets/pdfs/cert-23.pdf  
24,"Liderança e Mindset Empreendedor; Gestão de Pessoas 2024","Desenvolvimento de habilidades de liderança, gestão de equipes e mentalidade empreendedora",31-12-2024,20,assets/pdfs/cert-24.pdf  
25,"Projeto Atlas de Oportunidade","Mapeamento de oportunidades tecnológicas e desenvolvimento de soluções estratégicas",01-03-2024,320,assets/pdfs/projeto-atlas.pdf  